Aasta,Meeste vanuserühm,Naised vanuses 15-19,Naised vanuses 20-24,Naised vanuses 25-29,Naised vanuses 30-34,Naised vanuses 35-39,Naised vanuses 40-44,Naised vanuses 45-49,Naised vanuses 50-54,Naised vanuses 55-59,Naised vanuses 60-64,Naised vanuses 65-69,Naised vanuses 70-74,Naised vanuses 75 ja enam
2020,Mehed vanuses 15-19,0,1,0,0,0,0,0,0,0,0,0,0,0
2020,Mehed vanuses 20-24,2,25,7,2,0,1,0,0,0,0,0,0,0
2020,Mehed vanuses 25-29,0,33,97,21,8,2,0,2,0,0,0,0,0
2020,Mehed vanuses 30-34,1,24,125,191,56,14,5,3,0,0,0,0,0
2020,Mehed vanuses 35-39,0,5,32,127,170,49,11,5,2,0,0,0,0
2020,Mehed vanuses 40-44,0,2,9,69,159,166,45,9,2,0,0,0,0
2020,Mehed vanuses 45-49,0,0,5,19,63,127,129,30,3,2,0,0,0
2020,Mehed vanuses 50-54,0,1,0,7,21,39,85,81,17,2,1,0,0
2020,Mehed vanuses 55-59,0,0,1,0,5,20,26,54,65,20,2,1,0
2020,Mehed vanuses 60-64,0,0,0,0,0,1,16,13,34,42,11,1,0
2020,Mehed vanuses 65-69,0,0,0,1,0,2,3,6,7,18,19,3,1
2020,Mehed vanuses 70-74,0,0,0,0,1,2,2,0,2,9,3,15,1
2020,Mehed vanuses 75 ja enam,0,0,0,0,1,0,0,0,2,0,2,3,6
