DURATION (Labels),Total,Less than 1 year,1 year,2 years,3 years,4 years,5 years,6 years,7 years,8 years,9 years,10 years,11 years,12 years,13 years,14 years,15 years,16 years,17 years,18 years,19 years,20 years,21 years,22 years,23 years,24 years,25 years,26 years,27 years,28 years,29 years,30 years,31 years,32 years,33 years,34 years,35 years or over,Unknown
1992,"6,651",80,304,395,462,438,405,427,383,330,316,291,250,236,257,229,217,170,172,149,113,115,113,110,68,102,69,57,53,42,30,34,33,36,21,20,124,0
1993,"5,757",42,259,309,378,385,364,372,307,300,242,250,201,208,170,167,165,150,151,132,134,131,112,105,83,89,67,62,54,38,29,32,32,38,37,25,137,0
1994,"5,606",31,161,300,305,365,375,348,334,263,254,231,234,179,159,173,159,168,150,152,119,103,124,119,94,102,81,57,63,42,41,43,40,43,33,27,134,0
1995,"7,456",135,272,371,515,544,540,481,481,422,315,323,279,257,213,203,210,188,205,191,171,127,144,134,98,90,80,63,52,37,43,32,26,22,32,28,132,0
1996,"5,657",116,225,288,327,406,384,383,377,328,267,257,218,206,200,181,177,159,137,122,111,101,90,68,89,54,67,48,39,42,24,26,16,17,11,14,82,0
1997,"5,281",80,189,248,302,294,343,345,366,336,286,253,239,181,186,194,152,146,135,109,112,96,88,69,69,79,61,47,55,30,41,26,13,21,13,12,65,0
1998,"4,491",83,149,211,224,255,254,263,321,257,245,256,211,190,168,152,129,121,139,94,98,74,84,71,74,56,46,37,43,29,27,27,11,15,15,10,52,0
1999,"4,561",87,182,197,227,251,239,238,247,219,251,261,192,215,161,195,159,118,137,129,103,92,99,77,71,60,40,55,42,33,30,32,19,18,10,9,66,0
2000,"4,230",117,151,208,158,199,223,205,212,195,233,221,207,204,184,153,150,141,110,105,106,115,81,62,70,59,55,53,33,39,26,31,24,20,20,10,50,0
2001,"4,312",34,136,188,197,197,212,211,213,173,181,197,213,219,214,190,156,158,106,128,105,96,105,102,79,72,72,45,49,46,38,30,26,26,22,11,65,0
2002,"4,074",29,142,194,209,202,192,147,212,167,166,169,182,178,177,162,157,148,149,115,99,93,86,90,76,65,64,51,64,54,31,28,30,27,20,25,74,0
2003,"3,973",19,118,186,208,199,168,164,150,175,155,128,176,143,180,170,151,160,140,106,136,114,93,87,84,76,70,72,47,47,46,41,38,18,18,16,74,0
2004,"4,158",32,133,207,253,215,204,181,158,136,166,121,158,154,168,174,195,152,133,140,102,119,126,86,73,88,76,67,50,39,43,42,25,22,16,16,88,0
2005,"4,054",27,141,218,222,239,224,164,153,146,134,144,124,95,165,138,176,163,131,124,143,115,107,94,89,69,70,57,53,58,34,46,31,41,18,13,88,0
2006,"3,811",27,161,202,223,211,209,162,156,145,126,94,128,106,140,127,110,128,131,116,105,120,88,110,77,84,72,64,60,47,45,46,23,27,22,22,97,0
2007,"3,809",26,181,250,236,208,206,176,156,121,108,111,104,118,108,96,94,100,101,114,127,131,116,101,82,83,68,72,59,46,40,50,25,22,28,20,125,0
2008,"3,501",25,155,261,210,218,178,197,132,104,116,95,81,77,95,82,75,94,94,102,113,111,113,102,81,71,62,59,57,61,54,36,40,23,18,17,92,0
2009,"3,189",26,140,230,273,199,177,160,119,137,121,103,83,66,63,64,60,66,72,85,77,105,82,81,66,69,62,58,36,43,28,29,35,32,26,24,92,0
2010,"2,989",21,115,181,234,235,201,158,136,127,94,86,89,71,62,63,65,60,62,59,81,72,81,71,65,59,55,55,51,41,42,25,24,21,25,21,81,0
2011,"3,099",14,112,172,230,244,220,175,122,127,119,93,94,76,79,65,56,77,52,59,60,84,73,76,62,74,66,52,46,42,40,36,30,35,24,22,91,0
2012,"3,142",17,115,166,165,223,233,214,145,149,112,123,85,76,64,71,74,57,85,58,64,63,56,71,78,76,63,50,59,45,34,39,31,28,27,15,111,0
2013,"3,343",30,126,187,184,194,216,200,196,149,143,123,113,91,99,73,50,51,49,57,55,86,75,71,75,71,62,55,53,62,36,54,27,33,35,21,141,0
2014,"3,218",35,117,200,201,170,156,160,201,166,127,121,115,78,82,76,50,74,67,50,60,51,62,58,68,55,68,63,49,58,64,48,30,38,47,29,121,3
2015,"3,382",28,159,223,217,196,154,157,163,182,140,124,92,92,107,75,65,70,65,64,46,52,64,44,57,60,75,60,70,50,59,43,34,38,33,37,177,10
